Entity,Years,Records lost,Organisation,Method of Leak
178.com,7,"10,000",web,hacked
Aadhaar,14,"1,000,000",government,accidentally published
Accendo Insurance Co,7,175,healthcare,poor security
Adobe,9,"36,000",tech,hacked
Adult Friend Finder,11,"3,900",web,hacked
Advocate Medical Group,9,"4,000",healthcare,lost / stolen device or media
Affinity Health Plan,5,345,healthcare,lost / stolen media 
Al.type,14,"31,000",app,poor security
Ameritrade Inc.,1,200,financial,lost / stolen media
Ankle & foot Center of Tampa Bay,6,156,healthcare,hacked
Anthem ,12,"80,000",healthcare,hacked
AOL,0,"92,000",web,inside job
AOL,2,"20,000",web,accidentally published
AOL,10,"2,400",web,hacked
Apple,8,"12,367",tech,accidentally published
Apple,9,275,tech,hacked
AshleyMadison,11,"37,000",web,hacked
AT&T,4,113,telecoms,lost / stolen device or media
AT&T,6,114,telecoms,hacked
Auction.co.kr,4,"18,000",web,hacked
Australian Immigration Department,11,500,government,accidentally published
Automatic Data Processing,1,125,financial,poor security
AvMed,5,"1,220",healthcare,lost / stolen device or media
Banner Health,12,"3,700",healthcare,hacked
Bell,13,"1,900",telecoms,hacked
Betfair,6,"2,300",web,hacked
Bethesda Game Studios,7,200,gaming,hacked
Blizzard,8,"14,000",gaming,hacked
Blue Cross Blue Shield of Tennessee,5,"1,023",healthcare,lost / stolen device or media
BNY Mellon Shareowner Services,4,"12,500",financial,lost / stolen device or media
Brazzers,13,791,web,hacked
British Airways,11,500,retail,hacked
California Department of Child Support Services,8,800,government,lost / stolen device or media
Cardsystems Solutions Inc,1,"40,000",financial,hacked
Carefirst,11,"1,100",healthcare,hacked
CarPhone Warehouse,11,"2,700",web,hacked
Cellebrite,13,"3,000",tech,hacked
Central Hudson Gas & Electric,9,110,energy,hacked
CEX,14,"2,000",retail,accidentally published
CheckFree Corporation,5,"5,000",financial,hacked
Chile Ministry Of Education,4,"6,000",government,hacked
China Software Developer Network,7,"6,000",web,hacked
Citigroup,1,"3,900",financial,lost / stolen device or media
Citigroup,7,360,financial,hacked
Citigroup,9,150,financial,poor security
City and Hackney Teaching Primary Care Trust,3,160,government,lost / stolen device or media
Classified Iraq War documents,6,392,government,inside job
Clinton campaign,13,"5,000",government,hacked
ClixSense,13,"6,600",web,hacked
Colorado government,6,105,healthcare,lost / stolen computer
Community Health Systems,10,"4,500",healthcare,hacked
Compass Bank,3,"1,000",financial,inside job
Countrywide Financial Corp,2,"2,600",financial,inside job
Countrywide Financial Corp,7,"2,500",financial,inside job
Court Ventures,8,"200,000",financial,inside job
Crescent Health In,9,100,healthcare,lost / stolen computer
DaFont,13,700,web,hacked
Dai Nippon Printing,3,"8,637",retail,inside job
Dailymotion,13,"85,200",web,hacked
Data Processors International,4,"5,000",financial,hacked
Deep Root Analytics,11,"198,000",web,poor security
Disqus,8,"17,500",web,hacked
Dominios Pizzas,10,600,web,hacked
Driving Standards Agency,3,"3,000",government,lost / stolen device or media
Dropbox,8,30,web,hacked
Drupal,9,"1,000",web,hacked
Ebay,10,"145,000",web,hacked
Educational Credit Management Corp,6,"3,300",financial,lost / stolen device or media
Eisenhower Medical Center,7,514,healthcare,lost / stolen device or media
Embassy Cables,6,251,government,inside job
Emergency Healthcare Physicians,6,180,healthcare,lost / stolen device or media
Emory Healthcare,8,315,healthcare,lost / stolen device or media
Epsilon,7,"3,000",web,hacked
Equifax,14,"143,000",financial,hacked
European Central Bank,10,"4,000",financial,hacked
Evernote,9,"50,000",web,hacked
Facebook,9,"6,000",web,accidentally published
Facebook,10,"50,000",web,hacked
